Gene	Jaccard Index
ENSMUSG00000064341	1.0
ENSMUSG00000064345	1.0
ENSMUSG00000064351	1.0
ENSMUSG00000064354	1.0
ENSMUSG00000064356	1.0
ENSMUSG00000064357	1.0
ENSMUSG00000064358	1.0
ENSMUSG00000064360	1.0
ENSMUSG00000065947	1.0
ENSMUSG00000064363	1.0
ENSMUSG00000064367	1.0
ENSMUSG00000064368	1.0
ENSMUSG00000064370	1.0
ENSMUSG00000100249	1.0
ENSMUSG00000096426	1.0
ENSMUSG00000094558	1.0
ENSMUSG00000094876	1.0
ENSMUSG00000095716	1.0
ENSMUSG00000101381	1.0
ENSMUSG00000078218	1.0
ENSMUSG00000094307	1.0
ENSMUSG00000094596	1.0
ENSMUSG00000094273	1.0
ENSMUSG00000078213	1.0
ENSMUSG00000094860	1.0
ENSMUSG00000044597	1.0
ENSMUSG00000095814	1.0
ENSMUSG00000073295	1.0
ENSMUSG00000073294	1.0
ENSMUSG00000073293	1.0
ENSMUSG00000023279	1.0
ENSMUSG00000068270	0.3333333333333333
ENSMUSG00000062393	1.0
ENSMUSG00000051592	1.0
ENSMUSG00000050089	0.9537037037037037
ENSMUSG00000004317	0.3478260869565218
ENSMUSG00000046269	1.0
ENSMUSG00000039556	0.3333333333333333
ENSMUSG00000039521	0.48990471869328495
ENSMUSG00000031143	1.0
ENSMUSG00000031142	0.29307568438003223
ENSMUSG00000031144	0.1919191919191919
ENSMUSG00000031145	1.0
ENSMUSG00000031146	1.0
ENSMUSG00000031147	1.0
ENSMUSG00000031148	0.673469387755102
ENSMUSG00000039382	0.552235427277872
ENSMUSG00000031149	1.0
ENSMUSG00000031150	0.3333333333333333
ENSMUSG00000000134	0.5921052631578948
ENSMUSG00000031153	0.4
ENSMUSG00000009731	1.0
ENSMUSG00000031154	0.6541176470588236
ENSMUSG00000031155	1.0
ENSMUSG00000031156	0.6437472551602985
ENSMUSG00000031157	1.0
ENSMUSG00000031158	0.0
ENSMUSG00000039278	1.0
ENSMUSG00000031160	1.0
ENSMUSG00000031161	0.1875
ENSMUSG00000031162	0.3333333333333333
ENSMUSG00000031163	1.0
ENSMUSG00000039231	1.0
ENSMUSG00000031165	1.0
ENSMUSG00000031166	1.0
ENSMUSG00000031167	0.7795275590551181
ENSMUSG00000039201	0.9673913043478262
ENSMUSG00000031168	0.44
ENSMUSG00000031169	1.0
ENSMUSG00000031171	0.5
ENSMUSG00000031170	0.3333333333333333
ENSMUSG00000068219	1.0
ENSMUSG00000068218	1.0
ENSMUSG00000079705	1.0
ENSMUSG00000023165	1.0
ENSMUSG00000079704	1.0
ENSMUSG00000079702	1.0
ENSMUSG00000079701	1.0
ENSMUSG00000079703	1.0
ENSMUSG00000035371	1.0
ENSMUSG00000071816	1.0
ENSMUSG00000079699	1.0
ENSMUSG00000079697	1.0
ENSMUSG00000052364	1.0
ENSMUSG00000078208	1.0
ENSMUSG00000060685	1.0
ENSMUSG00000078206	1.0
ENSMUSG00000071815	1.0
ENSMUSG00000072249	1.0
ENSMUSG00000045797	1.0
ENSMUSG00000047344	1.0
ENSMUSG00000015342	1.0
ENSMUSG00000100200	1.0
ENSMUSG00000100448	1.0
ENSMUSG00000015340	0.0
ENSMUSG00000061065	1.0
ENSMUSG00000031176	1.0
ENSMUSG00000040456	1.0
ENSMUSG00000048994	1.0
ENSMUSG00000054453	0.9387755102040817
ENSMUSG00000090084	0.9874213836477987
ENSMUSG00000031174	0.8646913580246914
ENSMUSG00000031173	1.0
ENSMUSG00000058254	0.7
ENSMUSG00000008035	0.0
ENSMUSG00000100626	1.0
ENSMUSG00000101819	1.0
ENSMUSG00000096097	1.0
ENSMUSG00000094904	1.0
ENSMUSG00000095413	1.0
ENSMUSG00000095655	1.0
ENSMUSG00000095662	1.0
ENSMUSG00000099443	1.0
ENSMUSG00000095445	1.0
ENSMUSG00000069038	1.0
ENSMUSG00000040363	0.4407673860911271
ENSMUSG00000031007	1.0
ENSMUSG00000044148	1.0
ENSMUSG00000064127	0.6923076923076922
ENSMUSG00000031010	0.5
ENSMUSG00000000787	1.0
ENSMUSG00000051228	1.0
ENSMUSG00000031012	0.2505724223515634
ENSMUSG00000040229	1.0
ENSMUSG00000047678	1.0
ENSMUSG00000078346	1.0
ENSMUSG00000023257	1.0
ENSMUSG00000025037	1.0
ENSMUSG00000040147	1.0
ENSMUSG00000040138	1.0
ENSMUSG00000025038	1.0
ENSMUSG00000025040	1.0
ENSMUSG00000025043	1.0
ENSMUSG00000037369	0.4
ENSMUSG00000037358	1.0
ENSMUSG00000068149	1.0
ENSMUSG00000037347	1.0
ENSMUSG00000037341	0.6573739200321479
ENSMUSG00000060090	1.0
ENSMUSG00000037315	1.0
ENSMUSG00000023070	1.0
ENSMUSG00000031059	1.0
ENSMUSG00000031060	0.9503875968992248
ENSMUSG00000001924	1.0
ENSMUSG00000031065	0.7925531914893617
ENSMUSG00000031066	1.0
ENSMUSG00000001127	0.3888888888888889
ENSMUSG00000037217	1.0
ENSMUSG00000001131	1.0
ENSMUSG00000001128	1.0
ENSMUSG00000009406	1.0
ENSMUSG00000001134	1.0
ENSMUSG00000054737	1.0
ENSMUSG00000037167	1.0
ENSMUSG00000031079	1.0
ENSMUSG00000062814	1.0
ENSMUSG00000068122	1.0
ENSMUSG00000031089	1.0
ENSMUSG00000101818	1.0
ENSMUSG00000036782	1.0
ENSMUSG00000036769	1.0
ENSMUSG00000068113	1.0
ENSMUSG00000084063	1.0
ENSMUSG00000081218	1.0
ENSMUSG00000093923	1.0
ENSMUSG00000096620	1.0
ENSMUSG00000073267	1.0
ENSMUSG00000079655	1.0
ENSMUSG00000082639	1.0
ENSMUSG00000083628	1.0
ENSMUSG00000095063	1.0
ENSMUSG00000071788	1.0
ENSMUSG00000080725	1.0
ENSMUSG00000095546	1.0
ENSMUSG00000095293	1.0
ENSMUSG00000094624	1.0
ENSMUSG00000096457	1.0
ENSMUSG00000095887	1.0
ENSMUSG00000073257	1.0
ENSMUSG00000073255	1.0
ENSMUSG00000094759	1.0
ENSMUSG00000094391	1.0
ENSMUSG00000095754	1.0
ENSMUSG00000118441	1.0
ENSMUSG00000118465	1.0
ENSMUSG00000096645	0.0
ENSMUSG00000118431	1.0
ENSMUSG00000095770	1.0
ENSMUSG00000118402	1.0
ENSMUSG00000096194	1.0
ENSMUSG00000118459	1.0
ENSMUSG00000094601	1.0
ENSMUSG00000099711	1.0
ENSMUSG00000118409	1.0
ENSMUSG00000101500	1.0
ENSMUSG00000101294	1.0
ENSMUSG00000095934	1.0
ENSMUSG00000078324	1.0
ENSMUSG00000096915	1.0
ENSMUSG00000118429	1.0
ENSMUSG00000095659	1.0
ENSMUSG00000118438	1.0
ENSMUSG00000073247	1.0
ENSMUSG00000073245	1.0
ENSMUSG00000031093	0.9
ENSMUSG00000017057	1.0
ENSMUSG00000036699	1.0
ENSMUSG00000016239	0.0
ENSMUSG00000079642	1.0
ENSMUSG00000091556	1.0
ENSMUSG00000006373	1.0
ENSMUSG00000059708	0.0
ENSMUSG00000037636	1.0
ENSMUSG00000016319	1.0
ENSMUSG00000016308	0.27356321839080455
ENSMUSG00000006423	0.0
ENSMUSG00000044149	0.801980198019802
ENSMUSG00000050379	0.43154761904761907
ENSMUSG00000044400	1.0
ENSMUSG00000079641	1.0
ENSMUSG00000036572	1.0
ENSMUSG00000016409	1.0
ENSMUSG00000036551	1.0
ENSMUSG00000016427	1.0
ENSMUSG00000036537	1.0
ENSMUSG00000073243	1.0
ENSMUSG00000071773	1.0
ENSMUSG00000051827	1.0
ENSMUSG00000071772	1.0
ENSMUSG00000079639	1.0
ENSMUSG00000095601	1.0
ENSMUSG00000094945	1.0
ENSMUSG00000079638	1.0
