Gene	Type	Number of isoform	Jaccard Index	Dice coefficient	Overlap coefficient	Redundance metric	Stdev number GO term	BP similarity	CC similarity	MF similarity
gene:FBgn0002121	Observed	4	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031209	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051973	Observed	8	0.9232486263736265	0.9571217452498241	1.0	0.7589285714285714	1.3169567191065923	1.0	0.9742857142857149	0.9827500000000002
gene:FBgn0067779	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031213	Observed	5	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031214	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0002931	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031216	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031217	Observed	2	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0
gene:FBgn0026787	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0005278	Observed	6	0.6666666666666666	0.6666666666666666	1.0	0.0	12.298373876248844	0.6666666666666666	0.6666666666666666	0.6666666666666666
gene:FBgn0031228	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031219	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031220	Observed	4	0.5	0.5	1.0	0.0	16.887495373796554	0.5	0.5	0.5
gene:FBgn0288229	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0001142	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051976	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051975	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051974	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031224	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0259818	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031227	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031229	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0053635	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0016977	Observed	7	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031231	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031232	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031233	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0266557	Observed	6	0.9725932797361367	0.9858600410038414	1.0	0.9787878787878788	5.220153254455275	0.9989333333333331	1.0	0.9626666666666667
gene:FBgn0031235	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0283652	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031238	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031239	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031240	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0086912	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0086856	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0086855	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0003444	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031244	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031245	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0025686	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031247	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0017457	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0024352	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0020622	Observed	2	0.0	0.0	1.0	0.0	55.0	0.0	0.0	0.0
gene:FBgn0004611	Observed	5	0.7441860465116279	0.811965811965812	1.0	0.8401162790697675	22.0	0.8632000000000002	0.6	0.9696
gene:FBgn0031248	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031249	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0053127	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0264086	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051921	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031250	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0000061	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031251	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0003278	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0264855	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0263933	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031252	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0002593	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031253	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031254	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031255	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0004583	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0015924	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031256	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031257	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031258	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0027592	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0003963	Observed	4	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0043364	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0010602	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031260	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0005660	Observed	2	0.7272727272727273	0.8421052631578947	1.0	0.7272727272727273	6.0	0.802	1.0	0.984
gene:FBgn0031261	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0260933	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031263	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031264	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031265	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0021874	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031266	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031267	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031268	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0013323	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.5	40.069384267237695	0.3333333333333333	0.3333333333333333	0.3333333333333333
gene:FBgn0023489	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0010323	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.5	15.556349186104045	0.3333333333333333	0.3333333333333333	0.3333333333333333
gene:FBgn0031270	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0040106	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0040107	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031273	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0284247	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0011244	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0026438	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031275	Observed	4	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031276	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0040725	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031277	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0041250	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031279	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0000442	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0051658	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0086130	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031281	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031282	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031283	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031284	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0015621	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031285	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031286	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0010583	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0020304	Observed	5	0.7729166666666666	0.8543529411764708	1.0	0.515625	6.248199740725323	1.0	0.9113000000000001	0.8695999999999999
gene:FBgn0031287	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0020545	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031288	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0031289	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0029095	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0020305	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0053526	Observed	2	0.926829268292683	0.9620253164556962	1.0	0.926829268292683	1.5	1.0	1.0	0.895
gene:FBgn0031292	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0002936	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
gene:FBgn0002563	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
