Gene stable ID	Drosophila melanogaster (Fruit fly) gene stable ID	Drosophila melanogaster (Fruit fly) homology type
ENSMUSG00000064341	FBgn0013679	ortholog_one2one
ENSMUSG00000064345	FBgn0013680	ortholog_one2one
ENSMUSG00000064351	FBgn0013674	ortholog_one2one
ENSMUSG00000064354	FBgn0013675	ortholog_one2one
ENSMUSG00000064357	FBgn0013672	ortholog_one2one
ENSMUSG00000064358	FBgn0013676	ortholog_one2one
ENSMUSG00000064360	FBgn0013681	ortholog_one2one
ENSMUSG00000064363	FBgn0262952	ortholog_one2one
ENSMUSG00000064367	FBgn0013684	ortholog_one2one
ENSMUSG00000064370	FBgn0013678	ortholog_one2one
ENSMUSG00000095041	FBgn0026576	ortholog_one2many
ENSMUSG00000056673	FBgn0031759	ortholog_many2many
ENSMUSG00000069049	FBgn0263740	ortholog_many2many
ENSMUSG00000069049	FBgn0033184	ortholog_many2many
ENSMUSG00000068457	FBgn0260749	ortholog_one2many
ENSMUSG00000094881	FBgn0053856	ortholog_many2many
ENSMUSG00000094881	FBgn0053859	ortholog_many2many
ENSMUSG00000094881	FBgn0053853	ortholog_many2many
ENSMUSG00000094881	FBgn0053865	ortholog_many2many
ENSMUSG00000094881	FBgn0053832	ortholog_many2many
ENSMUSG00000094881	FBgn0053820	ortholog_many2many
ENSMUSG00000094881	FBgn0053847	ortholog_many2many
ENSMUSG00000094881	FBgn0053844	ortholog_many2many
ENSMUSG00000094881	FBgn0053808	ortholog_many2many
ENSMUSG00000094881	FBgn0053826	ortholog_many2many
ENSMUSG00000094881	FBgn0053838	ortholog_many2many
ENSMUSG00000094881	FBgn0053862	ortholog_many2many
ENSMUSG00000094881	FBgn0053829	ortholog_many2many
ENSMUSG00000094881	FBgn0053850	ortholog_many2many
ENSMUSG00000094881	FBgn0053817	ortholog_many2many
ENSMUSG00000094881	FBgn0053841	ortholog_many2many
ENSMUSG00000094881	FBgn0053823	ortholog_many2many
ENSMUSG00000094881	FBgn0053814	ortholog_many2many
ENSMUSG00000094881	FBgn0051618	ortholog_many2many
ENSMUSG00000094881	FBgn0053835	ortholog_many2many
ENSMUSG00000069036	FBgn0024288	ortholog_many2many
ENSMUSG00000069036	FBgn0005613	ortholog_many2many
ENSMUSG00000069036	FBgn0005612	ortholog_many2many
ENSMUSG00000069036	FBgn0036411	ortholog_many2many
ENSMUSG00000069036	FBgn0039938	ortholog_many2many
ENSMUSG00000095573	FBgn0053856	ortholog_many2many
ENSMUSG00000095573	FBgn0053859	ortholog_many2many
ENSMUSG00000095573	FBgn0053853	ortholog_many2many
ENSMUSG00000095573	FBgn0053865	ortholog_many2many
ENSMUSG00000095573	FBgn0053832	ortholog_many2many
ENSMUSG00000095573	FBgn0053820	ortholog_many2many
ENSMUSG00000095573	FBgn0053847	ortholog_many2many
ENSMUSG00000095573	FBgn0053844	ortholog_many2many
ENSMUSG00000095573	FBgn0053808	ortholog_many2many
ENSMUSG00000095573	FBgn0053826	ortholog_many2many
ENSMUSG00000095573	FBgn0053838	ortholog_many2many
ENSMUSG00000095573	FBgn0053862	ortholog_many2many
ENSMUSG00000095573	FBgn0053829	ortholog_many2many
ENSMUSG00000095573	FBgn0053850	ortholog_many2many
ENSMUSG00000095573	FBgn0053817	ortholog_many2many
ENSMUSG00000095573	FBgn0053841	ortholog_many2many
ENSMUSG00000095573	FBgn0053823	ortholog_many2many
ENSMUSG00000095573	FBgn0053814	ortholog_many2many
ENSMUSG00000095573	FBgn0051618	ortholog_many2many
ENSMUSG00000095573	FBgn0053835	ortholog_many2many
ENSMUSG00000073563	FBgn0031441	ortholog_many2many
ENSMUSG00000052713	FBgn0285917	ortholog_one2many
ENSMUSG00000001700	FBgn0085423	ortholog_one2many
