Gene	Type	Number of isoform	Jaccard Index	Dice coefficient	Overlap coefficient	Redundance metric	Stdev number GO term	BP similarity	CC similarity	MF similarity
ENSMUSG00000064345	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064354	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064357	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064358	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064360	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000065947	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064363	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064367	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064368	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064370	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000100249	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096426	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094558	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094876	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095716	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000101381	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078218	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094596	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094273	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078213	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094860	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000044597	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095814	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000023279	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068270	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000062393	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000051592	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000050089	Observed	2	0.9537037037037037	0.976303317535545	1.0	0.9537037037037037	2.5	1.0	1.0	0.882
ENSMUSG00000004317	Observed	3	0.3478260869565218	0.3617021276595745	1.0	0.5108695652173914	42.42640687119285	0.3333333333333333	0.7133333333333333	0.3333333333333333
ENSMUSG00000046269	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000039556	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000039521	Observed	3	0.9798094373865699	0.989788181539239	1.0	0.9762931034482759	5.734883511361751	0.9963333333333333	1.0	1.0
ENSMUSG00000031143	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031142	Observed	4	0.48845947396672035	0.5945557975277551	1.0	0.500805152979066	77.51290215183535	0.6353333333333333	0.8773333333333332	0.961
ENSMUSG00000031144	Observed	2	0.1919191919191919	0.3220338983050847	1.0	0.1919191919191919	40.0	0.0	0.859	0.0
ENSMUSG00000031145	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031146	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031148	Observed	2	0.673469387755102	0.8048780487804879	1.0	0.673469387755102	8.0	1.0	0.819	0.0
ENSMUSG00000039382	Observed	6	0.92831541218638	0.9598393574297189	1.0	0.956989247311828	7.453559924999299	0.9880000000000001	0.967333333333333	0.9766666666666666
