Gene	Type	Number of isoform	Jaccard Index	Dice coefficient	Overlap coefficient	Redundance metric	Stdev number GO term	BP similarity	CC similarity	MF similarity
ENSG00000292344	Observed	5	0.9	0.9428571428571428	1.0	0.75	1.2	1.0	0.6	1.0
ENSG00000292358	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292327	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292354	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292363	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292357	Observed	7	0.77528552071235	0.8546185400117985	1.0	0.5590277777777778	9.44803186502083	0.965238095238095	0.8387619047619048	0.948857142857143
ENSG00000292332	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292339	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292333	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292343	Observed	2	0.7708333333333334	0.8705882352941177	1.0	0.7708333333333334	5.5	0.868	1.0	0.796
ENSG00000292336	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000292338	Observed	2	0.09523809523809523	0.17391304347826086	1.0	0.09523809523809523	9.5	0.0	0.0	0.751
ENSG00000292345	Observed	2	0.06557377049180328	0.12307692307692308	1.0	0.06557377049180328	57.0	0.0	0.0	0.576
ENSG00000292348	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000184895	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000129824	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000067646	Observed	3	0.5061870568576977	0.6099232809472461	1.0	0.6270491803278688	42.192679723172624	0.6893333333333334	0.8799999999999999	0.8143333333333334
ENSG00000099715	Observed	6	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000168757	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000099721	Observed	2	0.896551724137931	0.9454545454545454	1.0	0.896551724137931	3.0	1.0	0.98	0.855
ENSG00000092377	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000233803	Observed	3	0.5632183908045977	0.6752136752136751	1.0	0.6724137931034483	17.913371790059205	0.734	0.9026666666666667	0.3333333333333333
ENSG00000229549	Observed	3	0.5632183908045977	0.6752136752136751	1.0	0.6724137931034483	17.913371790059205	0.734	0.9026666666666667	0.3333333333333333
ENSG00000228927	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000238074	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000236424	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000114374	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000067048	Observed	3	0.5600835945663531	0.6953009303886497	1.0	0.4090909090909091	18.457157599876172	0.0	0.228	0.9673333333333334
ENSG00000183878	Observed	13	0.6623450926155856	0.7249550103945358	0.9649979649979653	0.75	22.65407470173337	0.5945641025641033	0.9160256410256411	0.8595769230769227
ENSG00000165246	Observed	5	0.5669019933554817	0.5915072515471949	1.0	0.7209302325581395	49.53947920598278	0.6	0.8051000000000001	0.5972999999999999
ENSG00000129873	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000182415	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000172468	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000169953	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000012817	Observed	5	0.6708331834909675	0.7784935272386938	1.0	0.7553763440860215	22.859571299567275	0.7095999999999999	0.9068999999999999	0.9652000000000001
ENSG00000198692	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000280969	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000242875	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000234414	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSG00000244395	Observed	2	0.06666666666666667	0.125	1.0	0.06666666666666667	35.0	0.0	0.0	0.935
ENSG00000242389	Observed	2	0.06666666666666667	0.125	1.0	0.06666666666666667	35.0	0.0	0.0	0.935
