Gene	Type	Number of isoform	Jaccard Index	Dice coefficient	Overlap coefficient	Redundance metric	Stdev number GO term	BP similarity	CC similarity	MF similarity
ENSMUSG00000064341	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064345	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064351	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064354	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064356	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064357	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064358	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064360	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000065947	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064363	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064367	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064368	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064370	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000100249	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096426	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094558	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094876	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095716	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000101381	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078218	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094307	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094596	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094273	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078213	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094860	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000044597	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095814	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073295	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073294	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073293	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000023279	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068270	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.5	6.599663291074443	1.0	0.3333333333333333	0.3333333333333333
ENSMUSG00000062393	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000051592	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000050089	Observed	2	0.9537037037037037	0.976303317535545	1.0	0.9537037037037037	2.5	1.0	1.0	0.882
ENSMUSG00000004317	Observed	3	0.3478260869565218	0.3617021276595745	1.0	0.5108695652173914	42.42640687119285	0.3333333333333333	0.7133333333333333	0.3333333333333333
ENSMUSG00000046269	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000039556	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.5	18.856180831641268	0.3333333333333333	0.3333333333333333	0.3333333333333333
ENSMUSG00000039521	Observed	4	0.48990471869328495	0.4948940907696195	1.0	0.6508620689655172	197.80482805027788	0.49816666666666665	0.5	0.5
ENSMUSG00000031143	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031142	Observed	5	0.29307568438003223	0.35673347851665305	1.0	0.3756038647342995	86.54386171185106	0.38119999999999993	0.5264	0.5766
ENSMUSG00000031144	Observed	2	0.1919191919191919	0.3220338983050847	1.0	0.1919191919191919	40.0	0.0	0.859	0.0
ENSMUSG00000031145	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031146	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031147	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031148	Observed	2	0.673469387755102	0.8048780487804879	1.0	0.673469387755102	8.0	1.0	0.819	0.0
ENSMUSG00000039382	Observed	20	0.552235427277872	0.5547241597970831	1.0	0.25183927560837577	41.29273543857321	0.5569473684210526	0.5553157894736842	0.5560526315789476
ENSMUSG00000031149	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031150	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.0	20.741798914805393	0.3333333333333333	0.3333333333333333	1.0
ENSMUSG00000000134	Observed	5	0.5921052631578948	0.596	1.0	0.7302631578947368	44.715098121328104	0.5994	0.5919	0.6
ENSMUSG00000031153	Observed	5	0.4	0.4	1.0	0.5	69.07561074648562	0.4	0.4	0.4
ENSMUSG00000009731	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031154	Observed	5	0.6541176470588236	0.7570247933884297	1.0	0.711764705882353	48.00999895855029	0.8235999999999997	1.0	0.9592000000000003
ENSMUSG00000031155	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031156	Observed	9	0.6437472551602985	0.6983565816899152	1.0	0.6657608695652174	13.182479955523458	0.7702777777777775	0.748194444444444	0.7202499999999998
ENSMUSG00000031157	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031158	Observed	2	0.0	0.0	1.0	0.0	29.0	0.0	0.0	0.0
ENSMUSG00000039278	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031160	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031161	Observed	4	0.1875	0.2058823529411765	1.0	0.3541666666666667	248.2579303869264	0.24833333333333338	0.41733333333333333	0.30266666666666664
ENSMUSG00000031162	Observed	3	0.3333333333333333	0.3333333333333333	1.0	0.0	166.87720036002523	0.3333333333333333	0.3333333333333333	0.3333333333333333
ENSMUSG00000031163	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
