Gene stable ID	Drosophila melanogaster (Fruit fly) gene stable ID	Drosophila melanogaster (Fruit fly) homology type
ENSG00000198888	FBgn0013679	ortholog_one2one
ENSG00000198763	FBgn0013680	ortholog_one2one
ENSG00000198804	FBgn0013674	ortholog_one2one
ENSG00000198712	FBgn0013675	ortholog_one2one
ENSG00000198899	FBgn0013672	ortholog_one2one
ENSG00000198938	FBgn0013676	ortholog_one2one
ENSG00000198840	FBgn0013681	ortholog_one2one
ENSG00000198886	FBgn0262952	ortholog_one2one
ENSG00000198786	FBgn0013684	ortholog_one2one
ENSG00000198727	FBgn0013678	ortholog_one2one
ENSG00000273748	FBgn0036964	ortholog_one2many
ENSG00000277196	FBgn0003423	ortholog_one2many
ENSG00000276345	FBgn0035335	ortholog_one2many
ENSG00000278817	FBgn0001099	ortholog_one2many
ENSG00000198692	FBgn0026250	ortholog_one2many
ENSG00000169953	FBgn0001222	ortholog_one2many
ENSG00000012817	FBgn0031759	ortholog_many2many
ENSG00000172468	FBgn0001222	ortholog_one2many
ENSG00000176679	FBgn0001235	ortholog_many2many
ENSG00000176679	FBgn0000611	ortholog_many2many
ENSG00000176679	FBgn0033749	ortholog_many2many
ENSG00000176679	FBgn0033748	ortholog_many2many
ENSG00000182415	FBgn0027793	ortholog_many2many
ENSG00000182415	FBgn0037027	ortholog_many2many
ENSG00000182415	FBgn0035169	ortholog_many2many
ENSG00000182415	FBgn0033761	ortholog_many2many
ENSG00000182415	FBgn0038049	ortholog_many2many
ENSG00000182415	FBgn0039531	ortholog_many2many
ENSG00000205916	FBgn0011206	ortholog_one2many
ENSG00000129873	FBgn0027793	ortholog_many2many
ENSG00000129873	FBgn0037027	ortholog_many2many
ENSG00000129873	FBgn0035169	ortholog_many2many
ENSG00000129873	FBgn0033761	ortholog_many2many
ENSG00000129873	FBgn0038049	ortholog_many2many
ENSG00000129873	FBgn0039531	ortholog_many2many
ENSG00000184895	FBgn0024288	ortholog_many2many
ENSG00000184895	FBgn0005613	ortholog_many2many
ENSG00000184895	FBgn0005612	ortholog_many2many
ENSG00000184895	FBgn0036411	ortholog_many2many
ENSG00000184895	FBgn0039938	ortholog_many2many
ENSG00000129824	FBgn0011284	ortholog_one2many
ENSG00000183878	FBgn0260749	ortholog_one2many
ENSG00000187191	FBgn0011206	ortholog_one2many
ENSG00000188120	FBgn0011206	ortholog_one2many
ENSG00000092377	FBgn0263933	ortholog_one2many
ENSG00000205944	FBgn0011206	ortholog_one2many
ENSG00000165246	FBgn0034076	ortholog_many2many
ENSG00000165246	FBgn0010052	ortholog_many2many
ENSG00000165246	FBgn0015570	ortholog_many2many
ENSG00000165246	FBgn0015569	ortholog_many2many
ENSG00000165246	FBgn0015577	ortholog_many2many
ENSG00000165246	FBgn0015575	ortholog_many2many
ENSG00000165246	FBgn0034736	ortholog_many2many
ENSG00000165246	FBgn0261393	ortholog_many2many
ENSG00000165246	FBgn0032132	ortholog_many2many
ENSG00000165246	FBgn0015568	ortholog_many2many
ENSG00000165246	FBgn0015572	ortholog_many2many
ENSG00000165246	FBgn0032131	ortholog_many2many
ENSG00000165246	FBgn0027584	ortholog_many2many
ENSG00000165246	FBgn0015576	ortholog_many2many
ENSG00000165246	FBgn0015574	ortholog_many2many
ENSG00000165246	FBgn0015571	ortholog_many2many
ENSG00000165246	FBgn0001114	ortholog_many2many
ENSG00000165246	FBgn0032058	ortholog_many2many
ENSG00000165246	FBgn0032057	ortholog_many2many
ENSG00000165246	FBgn0000592	ortholog_many2many
ENSG00000165246	FBgn0000594	ortholog_many2many
ENSG00000280969	FBgn0011284	ortholog_one2many
ENSG00000172352	FBgn0027793	ortholog_many2many
